0.25,0.32,0.14,0.14,0.44,0.26,0.22,0.19,0.09
0.41,0.44,0.22,0.26,0.52,0.45,0.41,0.31,0.12
0.41,0.44,0.22,0.27,0.52,0.45,0.41,0.31,0.12
0.47,0.52,0.39,0.39,0.61,0.48,0.45,0.42,0.49
0.72,0.72,0.83,0.78,0.88,0.50,0.57,0.64,0.79
11000.85,16508.73,8637.55,10639.71,8649.75,23842.83,18848.21,19948.99,5861.14
0.42,0.47,0.39,0.40,0.44,0.55,0.51,0.47,0.72
1.89,8.71,4.54,2.27,1.10,1.01,2.81,3.62,3.93
2832.39,4866.81,1221.26,1461.57,2851.59,4366.86,2878.46,2166.74,317.37
0.02,0.05,-0.05,-0.01,0.19,0.01,0.03,-0.06,-0.28
